1 4 6 8 10 12 13 15 17 20 22 24 25 27 30 32 34 36 38 40 42 44 46 47 49 52 54 56 57 60
4 6 8 12 17 20 22 24 25 32 38 40 42 44 46 47 49 54 56 57 61 64 65 67 69 71 74 76 78 80
6 8 12 13 15 17 20 22 24 25 32 34 36 38 40 42 44 46 49 54 56 60 61 64 69 71 82 83 85 87
6 8 12 13 15 20 22 24 32 38 40 42 44 46 47 49 54 56 61 64 69 74 76 80 82 85 89 91 93 96
8 12 17 20 22 25 32 38 42 46 47 49 54 56 57 61 64 67 69 74 76 78 80 82 93 98 99 102 104 106
1 8 10 12 17 20 22 24 25 32 34 36 38 40 42 44 46 54 56 60 67 69 82 83 85 93 96 98 99 107
8 12 13 15 20 22 27 32 34 36 38 40 42 44 46 49 52 54 56 60 61 64 82 83 87 89 91 93 98 102
6 8 12 13 15 20 22 24 32 38 40 42 44 46 47 49 54 56 61 64 69 71 74 76 78 80 82 87 89 91
8 12 17 20 22 24 25 30 32 38 40 42 44 46 49 56 61 64 67 69 74 76 80 82 83 85 87 98 99 110
4 8 12 13 17 20 22 25 30 32 38 40 42 44 46 49 54 56 61 64 67 69 74 76 78 80 83 87 98 102
4 6 8 12 20 22 32 34 36 38 40 42 44 46 47 56 60 61 64 65 67 69 85 89 91 93 96 102 107 110
4 8 12 15 17 20 22 25 27 32 34 36 38 40 42 44 46 47 49 52 54 56 60 61 64 71 87 98 99 102
1 4 8 10 12 20 22 24 27 30 32 38 42 46 49 52 54 56 65 74 76 80 83 87 89 91 98 104 106 112
4 8 12 15 20 22 27 32 38 40 42 44 46 47 49 54 56 57 61 64 65 71 74 76 78 80 89 91 98 102
4 8 13 17 20 22 24 25 30 38 40 42 44 46 49 54 56 61 64 67 69 74 76 80 83 85 96 98 114 116
12 20 22 27 32 38 40 42 44 46 49 52 54 56 61 64 65 74 76 80 83 87 89 91 93 98 102 112 118 120
8 12 17 20 22 24 25 32 34 36 38 40 42 44 46 49 54 56 57 60 61 64 67 69 71 78 83 98 99 118
6 8 12 13 20 25 32 34 36 38 40 42 44 46 47 54 56 57 60 61 64 69 71 85 89 102 107 112 118 122
4 6 8 12 13 20 22 24 32 34 36 38 40 42 44 46 49 52 56 60 61 64 67 69 71 83 89 91 96 110
4 6 8 12 13 17 20 22 25 32 34 36 38 49 54 56 60 61 64 67 69 78 83 87 93 102 104 106 124 126
8 12 17 20 22 25 32 34 36 38 42 46 47 54 56 60 61 64 65 67 69 82 85 93 96 98 102 104 106 107
6 8 12 20 22 24 32 34 36 38 40 42 44 46 47 52 54 56 60 61 64 65 67 69 71 82 87 89 91 107
4 6 8 12 13 15 17 20 22 24 25 32 38 40 42 44 46 54 56 61 64 69 74 76 78 80 83 93 96 107
